Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,41.900002,48.029999,41.595001,46.720001,46.720001,15626400
2018-02-01,46.529999,48.160000,42.130001,47.009998,47.009998,13092300
2018-03-01,47.040001,55.209999,45.980000,52.389999,52.389999,24734200
2018-04-01,51.990002,55.020000,50.250000,51.680000,51.680000,17490000
2018-05-01,51.470001,62.410000,50.590000,58.740002,58.740002,40569300
2018-06-01,59.419998,62.209999,58.169998,59.029999,59.029999,27037400
2018-07-01,58.549999,61.250000,57.009998,58.000000,58.000000,14202200
2018-08-01,58.000000,70.400002,58.000000,64.889999,64.889999,25976200
2018-09-01,64.900002,67.080002,63.900002,66.279999,66.279999,21884900
2018-10-01,66.699997,67.000000,54.759998,57.080002,57.080002,28348100
2018-11-01,57.639999,61.880001,53.209999,61.820000,61.820000,91481400
2018-12-01,62.689999,63.090000,55.914001,62.080002,62.080002,29759300
2019-01-01,61.169998,74.106003,58.240002,74.019997,74.019997,37509700
2019-02-01,74.349998,86.010002,74.139999,84.410004,84.410004,39063100
2019-03-01,85.000000,88.089996,83.150002,87.199997,87.199997,34985300
2019-04-01,88.000000,93.769997,84.070000,87.029999,87.029999,33364700
2019-05-01,88.000000,88.470001,71.029999,75.129997,75.129997,43834200
2019-06-01,75.150002,89.989998,73.610001,89.809998,89.809998,42319700
2019-07-01,91.900002,94.519997,85.620003,89.519997,89.519997,27708500
2019-08-01,89.339996,101.580002,82.410004,96.860001,96.860001,45539400
2019-09-01,96.000000,102.000000,93.730003,97.250000,97.250000,28000900
2019-10-01,97.860001,104.540001,91.419998,100.910004,100.910004,33882800
2019-11-01,101.550003,110.000000,100.559998,107.029999,107.029999,26861800
2019-12-01,107.070000,108.800003,100.440002,102.629997,102.629997,27227000
